Class,F1 Score,Mean IoU,Class Count
euphonium,1.0,0.8734714830775238,13
revolver,1.0,0.9100226344508988,17
motorbikes,1.0,0.9447356646644881,160
minaret,1.0,0.8318447780820745,15
menorah,1.0,0.9087333556897697,18
laptop,1.0,0.9059344178043839,16
grandpiano,1.0,0.8947529170605176,20
faceseasy,1.0,0.9218031592031133,87
faces,1.0,0.8843354133561938,87
pagoda,1.0,0.8704837066135578,9
cellphone,1.0,0.9041302958585621,12
accordion,1.0,0.9215056912639092,11
windsorchair,1.0,0.831213681740582,11
airplanes,0.9968652037617556,0.9692079401257839,160
bonsai,0.9811320754716981,0.9343018212913812,26
Leopards,0.975609756097561,0.919591486776461,40
ewer,0.9714285714285714,0.9052477071162524,17
electricguitar,0.9655172413793104,0.9154776551710126,15
ferry,0.9655172413793104,0.9159886599599645,14
dragonfly,0.962962962962963,0.8901218625357891,14
joshuatree,0.9600000000000001,0.83339982347891,13
watch,0.9591836734693877,0.868560228126693,48
cup,0.9565217391304348,0.9000810411874238,12
yinyang,0.9565217391304348,0.9440031400989799,12
stegosaurus,0.9565217391304348,0.9566772829159835,12
trilobite,0.9444444444444444,0.9256200916603988,17
barrel,0.9411764705882353,0.9199247223152957,9
helicopter,0.9411764705882353,0.9477599828430404,18
buddha,0.9375,0.9508799241761303,17
mayfly,0.9333333333333333,0.929889510034227,8
wheelchair,0.923076923076923,0.9441993799117211,12
cougarface,0.923076923076923,0.9553273313684868,14
sunflower,0.9142857142857143,0.8856409021463417,17
chandelier,0.9090909090909091,0.9258094156358648,22
pyramid,0.9090909090909091,0.8862099344835036,12
metronome,0.9090909090909091,0.8779415349708217,6
hawksbill,0.9,0.9046268442777661,20
ceilingfan,0.8888888888888888,0.9439152260430896,9
ketch,0.8800000000000001,0.8988799347455962,23
elephant,0.8799999999999999,0.8576385358166665,13
saxophone,0.875,0.8726010144856732,8
starfish,0.8749999999999999,0.8825653180492545,17
chair,0.8695652173913044,0.8684759623565529,13
seahorse,0.8695652173913043,0.894018492428309,12
hedgehog,0.8571428571428572,0.910200198236903,11
stapler,0.8421052631578948,0.8412028421078506,9
emu,0.8421052631578948,0.94018377291677,11
scorpion,0.8387096774193549,0.8932316576419562,17
inlineskate,0.8333333333333334,0.9081431713491712,6
wildcat,0.8333333333333334,0.9196777610173431,6
brontosaurus,0.823529411764706,0.9202728623555605,8
wrench,0.8235294117647058,0.917923156478991,7
dolphin,0.8181818181818181,0.8816535600995131,13
umbrella,0.8148148148148148,0.9043596554542747,15
kangaroo,0.7999999999999999,0.8945401989109144,17
rhino,0.7826086956521738,0.8925490939583836,12
schooner,0.7826086956521738,0.8701696774751448,13
scissors,0.7777777777777777,0.8530588345540491,8
platypus,0.7692307692307692,0.8794599046166737,6
lamp,0.761904761904762,0.9026158306297077,12
okapi,0.761904761904762,0.9064141186813718,8
pizza,0.7200000000000001,0.970757176958289,10
llama,0.72,0.9334287160841043,16
mandolin,0.7058823529411765,0.9015607027632585,8
gramophone,0.7058823529411764,0.8684143254226652,10
cougarbody,0.7000000000000001,0.9109710687694691,9
flamingo,0.6666666666666666,0.9191166215807633,14
bass,0.64,0.9406942864404819,11
crayfish,0.6363636363636364,0.9243437827580193,14
crocodilehead,0.625,0.8880611554753374,10
anchor,0.6153846153846154,0.8443681192361043,8
octopus,0.6,0.8872923602584086,7
gerenuk,0.5882352941176471,0.9166889511652887,6
crab,0.5714285714285715,0.9172512467935601,15
tick,0.5714285714285713,0.8931020771389321,10
beaver,0.5333333333333333,0.9652828166347329,9
crocodile,0.5217391304347826,0.9335603603713817,10
binocular,0.5,0.9494810518120134,6
ibis,0.4864864864864864,0.8966733649874238,16
cannon,0.26666666666666666,0.8754321073993594,8
ant,0.18181818181818182,0.9298052269765942,8
camera,0.18181818181818182,0.91246889234621,10
brain,0.1792452830188679,0.8937555976679264,20
butterfly,0.13793103448275865,0.9623997796526045,18
flamingohead,0.0,0.7935151132322442,9
pigeon,0.0,0.9397350007754995,9
garfield,0.0,0.8510862041773324,6
waterlilly,0.0,0.8988999364323489,7
strawberry,0.0,0.8826968832379413,7
panda,0.0,0.8654222777424767,7
snoopy,0.0,0.934381449889871,7
soccerball,0.0,0.907907525545651,13
rooster,0.0,0.8561108687287969,10
lotus,0.0,0.9341321072006114,13
dalmatian,0.0,0.8949738722846062,14
dollarbill,0.0,0.8787602838111033,11
lobster,0.0,0.9299207190379482,8
headphone,0.0,0.8866438943227011,8
stopsign,0.0,0.7415501367303713,13
nautilus,0.0,0.9060463791032366,11
